close,date,high,low,oi,open,symbol,time,volume
55.1,2020-01-03,56.75,55.05,398180.0,56.75,BANKNIFTY09JAN2031500PE,11:04:00,9400
55.0,2020-01-03,55.6,54.6,399740.0,55.1,BANKNIFTY09JAN2031500PE,11:05:00,6500
55.5,2020-01-03,56.25,54.85,399740.0,55.4,BANKNIFTY09JAN2031500PE,11:06:00,8220
57.4,2020-01-03,58.45,55.75,399740.0,55.75,BANKNIFTY09JAN2031500PE,11:07:00,22380
58.0,2020-01-03,58.45,57.3,399340.0,57.55,BANKNIFTY09JAN2031500PE,11:08:00,9000
61.0,2020-01-03,61.1,57.85,399340.0,57.85,BANKNIFTY09JAN2031500PE,11:09:00,19780
62.85,2020-01-03,62.85,60.4,399340.0,60.85,BANKNIFTY09JAN2031500PE,11:10:00,13280
58.25,2020-01-03,63.0,57.7,403400.0,62.65,BANKNIFTY09JAN2031500PE,11:11:00,21620
57.7,2020-01-03,58.45,56.25,403400.0,58.05,BANKNIFTY09JAN2031500PE,11:12:00,9160
56.4,2020-01-03,57.85,56.0,403400.0,57.65,BANKNIFTY09JAN2031500PE,11:13:00,4960
57.2,2020-01-03,57.85,56.4,401460.0,56.4,BANKNIFTY09JAN2031500PE,11:14:00,7140
55.95,2020-01-03,57.55,55.75,401460.0,57.55,BANKNIFTY09JAN2031500PE,11:15:00,6120
56.0,2020-01-03,56.7,55.75,401460.0,55.95,BANKNIFTY09JAN2031500PE,11:16:00,3040
53.8,2020-01-03,55.95,53.4,401120.0,55.95,BANKNIFTY09JAN2031500PE,11:17:00,12560
54.2,2020-01-03,54.7,53.75,401120.0,53.8,BANKNIFTY09JAN2031500PE,11:18:00,7340
53.05,2020-01-03,54.5,53.05,401120.0,54.5,BANKNIFTY09JAN2031500PE,11:19:00,8980
52.8,2020-01-03,53.6,52.35,401380.0,53.0,BANKNIFTY09JAN2031500PE,11:20:00,10160
54.45,2020-01-03,55.45,53.1,401380.0,53.55,BANKNIFTY09JAN2031500PE,11:21:00,9480
54.7,2020-01-03,54.7,53.25,401380.0,54.45,BANKNIFTY09JAN2031500PE,11:22:00,7840
54.0,2020-01-03,55.0,54.0,406060.0,54.7,BANKNIFTY09JAN2031500PE,11:23:00,7080
54.25,2020-01-03,54.6,53.85,406060.0,54.25,BANKNIFTY09JAN2031500PE,11:24:00,6800
55.0,2020-01-03,55.0,53.9,406060.0,53.9,BANKNIFTY09JAN2031500PE,11:25:00,8080
54.55,2020-01-03,55.0,54.25,412160.0,55.0,BANKNIFTY09JAN2031500PE,11:26:00,4440
54.6,2020-01-03,55.0,53.7,412160.0,54.55,BANKNIFTY09JAN2031500PE,11:27:00,4100
52.75,2020-01-03,54.6,52.75,412160.0,54.6,BANKNIFTY09JAN2031500PE,11:28:00,11080
53.0,2020-01-03,53.5,52.7,412680.0,52.75,BANKNIFTY09JAN2031500PE,11:29:00,3220
53.5,2020-01-03,53.5,52.7,412680.0,53.0,BANKNIFTY09JAN2031500PE,11:30:00,2600
53.7,2020-01-03,53.9,53.25,412680.0,53.4,BANKNIFTY09JAN2031500PE,11:31:00,4060
52.35,2020-01-03,53.7,50.65,411900.0,53.7,BANKNIFTY09JAN2031500PE,11:32:00,13080
53.45,2020-01-03,54.1,52.0,411900.0,52.15,BANKNIFTY09JAN2031500PE,11:33:00,7980
54.2,2020-01-03,54.25,53.4,411900.0,53.45,BANKNIFTY09JAN2031500PE,11:34:00,4960
54.0,2020-01-03,55.05,53.25,412660.0,54.75,BANKNIFTY09JAN2031500PE,11:35:00,7080
52.85,2020-01-03,53.9,52.2,412660.0,53.35,BANKNIFTY09JAN2031500PE,11:36:00,10780
53.0,2020-01-03,53.0,52.2,412660.0,52.85,BANKNIFTY09JAN2031500PE,11:37:00,4720
54.0,2020-01-03,54.0,52.8,406980.0,53.0,BANKNIFTY09JAN2031500PE,11:38:00,3060
54.5,2020-01-03,55.0,53.75,406980.0,54.0,BANKNIFTY09JAN2031500PE,11:39:00,6500
54.5,2020-01-03,54.95,53.55,406980.0,54.95,BANKNIFTY09JAN2031500PE,11:40:00,1520
53.9,2020-01-03,54.5,53.6,406540.0,54.15,BANKNIFTY09JAN2031500PE,11:41:00,4020
53.45,2020-01-03,53.95,53.3,406540.0,53.9,BANKNIFTY09JAN2031500PE,11:42:00,6940
53.35,2020-01-03,53.7,53.15,406540.0,53.45,BANKNIFTY09JAN2031500PE,11:43:00,1320
53.9,2020-01-03,54.7,53.0,405840.0,53.05,BANKNIFTY09JAN2031500PE,11:44:00,6040
58.4,2020-01-03,58.4,53.75,405840.0,53.75,BANKNIFTY09JAN2031500PE,11:45:00,23860
57.25,2020-01-03,58.2,56.4,405840.0,58.15,BANKNIFTY09JAN2031500PE,11:46:00,20360
59.1,2020-01-03,59.1,56.3,411420.0,57.05,BANKNIFTY09JAN2031500PE,11:47:00,11040
59.55,2020-01-03,60.0,58.6,411420.0,58.85,BANKNIFTY09JAN2031500PE,11:48:00,22920
58.5,2020-01-03,60.7,57.3,411420.0,59.55,BANKNIFTY09JAN2031500PE,11:49:00,19980
57.4,2020-01-03,59.15,57.2,410140.0,58.5,BANKNIFTY09JAN2031500PE,11:50:00,8860
57.2,2020-01-03,58.0,57.0,410140.0,57.4,BANKNIFTY09JAN2031500PE,11:51:00,12520
56.5,2020-01-03,57.65,55.75,410140.0,57.3,BANKNIFTY09JAN2031500PE,11:52:00,7360
56.5,2020-01-03,56.85,55.7,411540.0,56.5,BANKNIFTY09JAN2031500PE,11:53:00,4900
57.75,2020-01-03,57.75,56.0,411540.0,56.5,BANKNIFTY09JAN2031500PE,11:54:00,9080
58.15,2020-01-03,58.4,57.4,411540.0,57.75,BANKNIFTY09JAN2031500PE,11:55:00,3220
59.25,2020-01-03,59.35,57.7,410560.0,58.15,BANKNIFTY09JAN2031500PE,11:56:00,8100
